               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.037184,            0.027841,            0.052176,             0.92633,             0.16535,             0.27808,             0.12927,            0.035955,            0.020923,            0.048011,            0.005875,            0.005875,            0.005875
                 127,            0.040207,            0.030182,            0.049763,             0.93392,              0.1639,             0.28243,             0.19124,            0.029071,            0.019929,            0.047834,            0.005842,            0.005842,            0.005842
                 128,            0.036094,            0.034557,            0.051359,             0.91879,             0.16517,             0.28358,               0.182,             0.03148,            0.020401,            0.047474,            0.005809,            0.005809,            0.005809
                 129,            0.042931,            0.033905,            0.051875,             0.91588,             0.16497,             0.27975,              0.1709,            0.033164,            0.020623,             0.04734,            0.005776,            0.005776,            0.005776
                 130,            0.040627,            0.032984,            0.051506,             0.92979,             0.16537,             0.28156,             0.17259,            0.030057,            0.020022,            0.047261,            0.005743,            0.005743,            0.005743
                 131,             0.03657,            0.033707,            0.051535,              0.5627,             0.35552,             0.25901,             0.12483,            0.037501,            0.020781,            0.047099,             0.00571,             0.00571,             0.00571
                 132,            0.041054,            0.029106,            0.051137,             0.57228,             0.35587,             0.27303,             0.16541,            0.030927,            0.020056,            0.047019,            0.005677,            0.005677,            0.005677
                 133,            0.038179,            0.033389,            0.049251,             0.61486,              0.3448,             0.28484,             0.18114,            0.030537,            0.019942,            0.046798,            0.005644,            0.005644,            0.005644
                 134,            0.040377,            0.029275,            0.049089,             0.61982,             0.33922,             0.28644,             0.18285,            0.032266,            0.020284,            0.046567,            0.005611,            0.005611,            0.005611
                 135,            0.038963,            0.030425,             0.05084,             0.63774,             0.30715,             0.28988,             0.18733,            0.029075,            0.019733,            0.046407,            0.005578,            0.005578,            0.005578
                 136,            0.033158,            0.028651,            0.047427,             0.63498,             0.32772,             0.28284,             0.16861,            0.030543,            0.020057,            0.046082,            0.005545,            0.005545,            0.005545
